id,global_id,level,building_code,req_gold,req_elixir,req_gem,req_dark_elixir,brew_time,housing,radius,pulses_count,pulses_duration,pulses_value,pulses_value_2,research_time,research_gold,research_elixir,research_dark_elixir,research_gems,research_xp
21,rage,2,0,0,25000,0,0,360,2,5,60,0.3,1.4,2.2,43200,0,400000,0,0,207
22,rage,3,0,0,27000,0,0,360,2,5,60,0.3,1.5,2.4,86400,0,800000,0,0,293
23,rage,4,0,0,30000,0,0,360,2,5,60,0.3,1.6,2.6,172800,0,1600000,0,0,415
24,rage,5,0,0,33000,0,0,360,2,5,60,0.3,1.7,2.8,345600,0,2400000,0,0,587
25,rage,6,0,0,37000,0,0,360,2,5,60,0.3,1.8,3,691200,0,7700000,0,0,831
26,jump,1,0,0,23000,0,0,360,2,3.5,1,20,0,0,0,0,0,0,0,0
27,jump,2,0,0,27000,0,0,360,2,3.5,1,40,0,0,345600,0,2000000,0,0,0
28,jump,3,0,0,31000,0,0,360,2,3.5,1,60,0,0,518400,0,3400000,0,0,0
29,jump,4,0,0,35000,0,0,360,2,3.5,1,80,0,0,972000,0,9000000,0,0,0
30,jump,5,0,0,40000,0,0,360,2,3.5,1,100,0,0,1425600,0,16500000,0,0,0
31,freeze,1,0,0,6000,0,0,180,1,1.75,1,2.5,0,0,0,0,0,0,0,0
32,freeze,2,0,0,7000,0,0,180,1,1.75,1,3,0,0,129600,0,1200000,0,0,360
33,freeze,3,0,0,8000,0,0,180,1,1.75,1,3.5,0,0,223200,0,1700000,0,0,472
34,freeze,4,0,0,9000,0,0,180,1,1.75,1,4,0,0,388800,0,3000000,0,0,605
35,freeze,5,0,0,10000,0,0,180,1,1.75,1,4.5,0,0,518400,0,4200000,0,0,720
36,freeze,6,0,0,11000,0,0,180,1,1.75,1,5,0,0,669600,0,6000000,0,0,818
37,freeze,7,0,0,12000,0,0,180,1,1.75,1,5.5,0,0,712800,0,7700000,0,0,844
38,invisibility,1,0,0,11000,0,0,180,1,4,1,3.75,0,0,0,0,0,0,0,0
39,invisibility,2,0,0,12000,0,0,180,1,4,1,4,0,0,475200,0,5600000,0,0,689
40,invisibility,3,0,0,13000,0,0,180,1,4,1,4.25,0,0,691200,0,8400000,0,0,831
41,invisibility,4,0,0,14000,0,0,180,1,4,1,4.5,0,0,1015200,0,11300000,0,0,1007
42,recall,1,0,0,0,0,0,360,2,5,1,0,83,0,0,0,0,0,0,0
43,recall,2,0,0,0,0,0,360,2,5,1,0,89,0,993600,0,7500000,0,0,0
44,recall,3,0,0,0,0,0,360,2,5,1,0,95,0,1339200,0,14000000,0,0,0
45,recall,4,0,0,0,0,0,360,2,5,1,0,101,0,1512000,0,17500000,0,0,0
46,earthquake,1,1,0,0,0,0,180,1,3.5,0,0,0.145,0,0,0,0,0,0,0
47,earthquake,2,1,0,0,0,0,180,1,3.8,0,0,0.17,0,64800,0,0,15000,0,0
48,earthquake,3,1,0,0,0,0,180,1,4.1,0,0,0.21,0,129600,0,0,30000,0,0
49,earthquake,4,1,0,0,0,0,180,1,4.4,0,0,0.25,0,367200,0,0,51000,0,0
50,earthquake,5,1,0,0,0,0,180,1,4.7,0,0,0.29,0,669600,0,0,84000,0,0
51,haste,1,1,0,0,0,0,180,1,4,1,10,2.8,0,0,0,0,0,0,0
52,haste,2,1,0,0,0,0,180,1,4,1,15,3.4,0,129600,0,0,20000,0,0
53,haste,3,1,0,0,0,0,180,1,4,1,20,4,0,223200,0,0,34000,0,0
54,haste,4,1,0,0,0,0,180,1,4,1,25,4.6,0,432000,0,0,60000,0,0
55,haste,5,1,0,0,0,0,180,1,4,1,30,5.2,0,669600,0,0,77000,0,0
56,skeleton,1,1,0,0,0,0,180,1,3.5,1,0,12,0,0,0,0,0,0,0
57,skeleton,2,1,0,0,0,0,180,1,3.5,1,0,13,0,115200,0,0,22000,0,0
58,skeleton,3,1,0,0,0,0,180,1,3.5,1,0,14,0,216000,0,0,34000,0,0
59,skeleton,4,1,0,0,0,0,180,1,3.5,1,0,15,0,367200,0,0,50000,0,0
60,skeleton,5,1,0,0,0,0,180,1,3.5,1,0,16,0,518400,0,0,87000,0,0
61,skeleton,6,1,0,0,0,0,180,1,3.5,1,0,17,0,626400,0,0,105000,0,0
62,skeleton,7,1,0,0,0,0,180,1,3.5,1,0,18,0,972000,0,0,187000,0,0
63,bat,1,1,0,0,0,0,180,1,3.5,1,0,7,0,0,0,0,0,0,0
64,bat,2,1,0,0,0,0,180,1,3.5,1,0,9,0,151200,0,0,26000,0,0
65,bat,3,1,0,0,0,0,180,1,3.5,1,0,11,0,302400,0,0,51000,0,0
66,bat,4,1,0,0,0,0,180,1,3.5,1,0,16,0,453600,0,0,70000,0,0
67,bat,5,1,0,0,0,0,180,1,3.5,1,0,21,0,540000,0,0,105000,0,0
68,bat,6,1,0,0,0,0,180,1,3.5,1,0,22,0,1555200,0,0,330000,0,0
